Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud
NEUQUEN,Añelo,Aguada San Roque,135,--,--,--,--,--,--,--,SI,SI,58014005.0,-37.9994791767967,-68.9231103975687
NEUQUEN,Añelo,Añelo,2449,--,SI,--,SI,SI,SI,SI,SI,SI,58014010.0,-38.3514440221419,-68.7919715586172
NEUQUEN,Añelo,San Patricio del Chañar,6474,--,SI,--,SI,SI,SI,SI,SI,SI,58014020.0,-38.6257824069657,-68.2986456816821
NEUQUEN,Catan LilL,Las Coloradas,873,--,--,SI,--,SI,SI,SI,--,--,58021010.0,-39.5578638822685,-70.5932894653763
NEUQUEN,Chos Malal,Chos Malal,13092,SI,--,SI,SI,SI,SI,SI,SI,SI,58042010.0,-37.3792566593514,-70.2723772223192
NEUQUEN,Chos Malal,Tricao Malal,533,--,--,--,--,--,SI,SI,--,--,58042020.0,-37.0428490399834,-70.3347175778926
NEUQUEN,Chos Malal,Villa del Curi Leuvú,148,--,--,--,--,--,--,--,--,--,58042030.0,-37.1337365202592,-70.3969231250344
NEUQUEN,Confluencia,Neuquén,231198,SI,SI,SI,SI,SI,SI,SI,SI,SI,58035070.0,-38.9492856796033,-68.0839057621977
NEUQUEN,Confluencia,Plaza Huincul,13172,--,--,--,--,SI,SI,--,SI,SI,58035090.0,-38.9290709532125,-69.2021594435231
NEUQUEN,Confluencia,Plottier,32390,SI,SI,--,SI,SI,SI,SI,SI,SI,58035100.0,-38.9510561611213,-68.2478403865049
NEUQUEN,Confluencia,Senillosa,7542,--,--,--,SI,SI,SI,SI,SI,SI,58035110.0,-39.0113034801537,-68.4333833911279
NEUQUEN,Confluencia,Villa El Chocón,707,--,--,SI,--,--,SI,SI,--,SI,58035120.0,-39.2610101785628,-68.7842564223565
