Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
MENDOZA,San Rafael,El Tropezón,--,--,--,--,--,--,--,--,--
MENDOZA,Tupungato,La Arboleda,--,--,--,--,SI,--,--,SI,--
MENDOZA,Tupungato,San José,--,--,--,SI,SI,SI,--,SI,--
MENDOZA,Tupungato,Tupungato,SI,--,--,SI,SI,SI,SI,SI,SI
MENDOZA,Tupungato,Villa Bastias,--,--,--,--,--,--,--,--,--
NEUQUEN,Aluminé,Aluminé,--,SI,--,--,SI,--,SI,SI,SI
NEUQUEN,Aluminé,Moquehue,--,--,--,--,--,--,--,SI,SI
NEUQUEN,Aluminé,Villa Pehuenia,SI,--,SI,--,SI,--,SI,SI,SI
NEUQUEN,Añelo,Aguada San Roque,--,--,--,--,SI,SI,--,--,--
NEUQUEN,Añelo,Añelo,--,SI,--,SI,SI,SI,SI,SI,SI
NEUQUEN,Añelo,San Patricio del Chañar,--,SI,--,SI,SI,SI,SI,SI,SI
NEUQUEN,Catan LilL,Las Coloradas,--,--,SI,--,--,--,SI,SI,SI
NEUQUEN,Chos Malal,Chos Malal,SI,--,SI,SI,SI,SI,SI,SI,SI
NEUQUEN,Chos Malal,Tricao Malal,--,--,--,--,--,--,SI,SI,--
NEUQUEN,Chos Malal,Villa del Curi Leuvú,--,--,--,--,--,--,--,--,--
NEUQUEN,Confluencia,Neuquén,SI,SI,SI,SI,SI,SI,SI,SI,SI
NEUQUEN,Confluencia,Plaza Huincul,--,--,--,--,SI,SI,--,SI,SI
NEUQUEN,Confluencia,Plottier,SI,SI,--,SI,SI,SI,SI,SI,SI
NEUQUEN,Confluencia,Senillosa,--,--,--,SI,SI,SI,SI,SI,SI
NEUQUEN,Confluencia,Villa El Chocón,--,--,SI,--,SI,--,SI,SI,--
